artist_id,Artist
1,RENEE AND RENATO
2,PHIL COLLINS
3,DAVID ESSEX
4,MODERN ROMANCE
5,MADNESS
6,CULTURE CLUB
7,SHAKIN' STEVENS
8,KEITH HARRIS AND ORVILLE
9,DAVID BOWIE AND BING CROSBY
10,DIONNE WARWICK
11,MALCOLM MCLAREN AND THE WORLD'S FAMOUS SUPREME TEAM
12,ULTRAVOX
13,BUCKS FIZZ
14,WHAM!
15,THE JAM
16,INCANTATION
17,LIONEL RICHIE
18,CLIFF RICHARD
19,SHALAMAR
20,THE HUMAN LEAGUE
21,DEXY'S MIDNIGHT RUNNERS
22,DONNA SUMMER
23,DURAN DURAN
24,JOHN WILLIAMS
25,A FLOCK OF SEAGULLS
26,ABBA
27,BLANCMANGE
28,YAZOO
29,MAISONETTES
30,SANTA CLAUS AND THE CHRISTMAS TREES
31,KID CREOLE AND THE COCONUTS
32,MUSICAL YOUTH
33,EDDY GRANT
34,WAH!
35,KOOL AND THE GANG
36,SOFT CELL
37,MARVIN GAYE
38,MEN AT WORK
39,IMAGINATION
40,THE STRANGLERS
41,LAURA BRANIGAN
42,SINGING SHEEP
43,SUPERTRAMP
44,BARRY MANILOW
45,TEARS FOR FEARS
46,TWEETS
47,FLEETWOOD MAC
48,JAPAN
49,JOE JACKSON
50,BANANARAMA
51,TALK TALK
52,KEN BARRIE
53,THE KIDS FROM 'FAME'
54,SNOWMEN
55,ELVIS COSTELLO AND THE ATTRACTIONS
56,WILLIE HUTCH
57,THE WAITRESSES
58,JOHN AND YOKO AND THE PLASTIC ONO BAND WITH THE HARLEM COMMUNITY CHOIR
59,TYRONE BRUNSON
60,WHODINI
61,DARYL HALL AND JOHN OATES
62,CLANNAD
63,BILLY GRIFFIN
64,WHITESNAKE
65,ADAM ANT
66,NEVADA
67,SLADE
68,GREG LAKE
69,DIZZY HEIGHTS
70,THE CURE
71,OLIVIA NEWTON-JOHN
72,JOHN LENNON
73,SHARON REDD
74,MICHAEL JACKSON AND PAUL MCCARTNEY
75,SIOUXSIE AND THE BANSHEES
76,YOUNG STEVE AND THE AFTERNOON BOYS
77,GEORGE CLINTON
78,MONTANA SEXTET
79,THE SPECIAL AKA
80,RUNRIG
81,PALE FOUNTAINS
82,THE FUN BOY THREE
83,STATUS QUO
84,ABC
85,JULIO IGLESIAS
86,SLEEPING LIONS
87,BLUE ZOO
88,RAW SILK
89,DOBIE GRAY
90,HEAVEN 17
91,OZZY OSBOURNE
92,MELBA MOORE
93,JOE COCKER AND JENNIFER WARNES
94,DIANA ROSS
95,THE BELLE STARS
96,CINDY AND THE SAFFRONS
97,LEVEL 42
98,HAWKWIND
99,THE ALAN PARSONS PROJECT
100,ROCKER'S REVENGE FEATURING DONNIE CALVIN
101,HAYSI FANTAYZEE
102,ELKIE BROOKS
103,CHINA CRISIS
104,ROCKOLAS FEATURING MIKE READ
105,THE THE
106,DEXY'S MIDNIGHT RUNNERS WITH THE EMERALD EXPRESS
107,SOUTHERN DEATH CULT
108,JAMMERS
109,GRANDMASTER FLASH
110,EURYTHMICS
111,U2
112,DIRE STRAITS
113,ECHO & THE BUNNYMEN
114,THE BEATLES
115,KAJAGOOGOO
116,BAUHAUS
117,CENTRAL LINE
118,SET THE TONE
119,INDEEP
120,MELLE MEL AND DUKE BOOTEE
121,POLECATS
122,THE THOMPSON TWINS
123,PRINCE
124,JAM
125,JUPITER 8
126,STEVIE WONDER
127,BOBBY M
128,MICHAEL JACKSON
129,TONEY LEE
130,METEORS
131,"EARTH, WIND AND FIRE"
132,ICEHOUSE
133,TOTO
134,EDDIE RABBITT AND CRYSTAL GAYLE
135,ERIC CLAPTON
136,ELVIS PRESLEY
137,UB40
138,DEF LEPPARD
139,CHRISTOPHER CROSS
140,CAVA CAVA
141,AZTEC CAMERA
142,BLITZ
143,DON HENLEY
144,PATTI AUSTIN AND JAMES INGRAM
145,JOHN COUGAR
146,LINDA RONSTADT
147,CRYSTAL GAYLE
148,THE GAP BAND
149,FOSTER & ALLEN
150,STARGAZERS
151,JULUKA
152,DEPECHE MODE
153,THIN LIZZY
154,MARILLION
155,SPANDAU BALLET
156,KENNY ROGERS AND SHEENA EASTON
157,EVELYN KING
158,THE SOS BAND
159,JOBOXERS
160,ROCKY SHARPE AND THE REPLAYS
161,DAVE BERTRAM
162,ONE THE JUGGLER
163,PAT BENATAR
164,STIFF LITTLE FINGERS
165,RANDY CRAWFORD
166,LUTHER VANDROSS
167,ORCHESTRAL MANOEUVRES IN THE DARK
168,PHIL EVERLY AND CLIFF RICHARD
169,BONNIE TYLER
170,ORANGE JUICE
171,JONNY CHINGAS
172,JOAN ARMATRADING
173,ANN BREEN
174,KISSING THE PINK
175,CHIC
176,YARBROUGH & PEOPLES
177,AFRIKA BAMBAATAA
178,LEISURE PROCESS
179,MAHOGANY
180,THE BLUEBELLS
181,DAVID
182,CHAS AND DAVE
183,BRENDAN SHINE
184,FORREST
185,MALCOLM MCLAREN
186,DAVID JOSEPH
187,BIG COUNTRY
188,POWELL FAMILY
189,MEZZOFORTE
190,JIMMY ROSELLI
191,JAZZY DEE
192,ROCK GODDESS
193,MERRICK AND TIBBS
194,RONI GRIFFITH
195,BAND A.K.A.
196,SAMSON
197,SPIDER
198,LEO SAYER
199,PETE SHELLEY
200,SUNFIRE
201,BOW WOW WOW
202,PINKEES
203,SCARLET PARTY
204,VAN MORRISON
205,WALL OF VOODOO
206,MARK KNOPFLER
207,THE BARRON KNIGHTS
208,THE UNDERTONES
209,UFO
210,KASHIF
211,ROMAN HOLLIDAY
212,SPEAR OF DESTINY
213,TRACEY ULLMAN
214,LANDSCAPE III
215,DAVE PHILLIPS AND HOT ROD GANG
216,THE STYLE COUNCIL
217,ALTERED IMAGES
218,NEW ORDER
219,MARI WILSON
220,NICK HEYWARD
221,THE TEARDROP EXPLODES
222,THE SALSOUL ORCHESTRA
223,THE WHISPERS
224,SHRIEKBACK
225,MIDNITE
226,VALERIE DUNBAR
227,MAXINE SINGLETON
228,VICIOUS PINK PHENOMENA
229,DANSE SOCIETY
230,ANIMAL NIGHTLIFE
231,DAVE EDMUNDS
232,CHRIS REA
233,DAVID BOWIE
234,TWISTED SISTER
235,MAN PARRISH
236,KENNY EVERETT
237,TRACIE
238,F.R. DAVID
239,LAUREL AND HARDY
240,THE DAMNED
241,SECOND IMAGE
242,PETER TOSH
243,ROBERT PALMER
244,AMAZULU
245,FASTWAY
246,WIDE BOY AWAKE
247,CHILL FAC-TORR
248,STEVE HACKETT
249,GRACE JONES
250,FARMERS BOYS
