song_id,Song,Artist,Position,Last Week,Peak,Weeks on Chart,Week,Year,Decade,Month
65,PASS THE DUTCHIE,MUSICAL YOUTH,65,LW:RE,1,13,1983-01-02,1983,1980,1
75,LET'S GO TO BED,THE CURE,75,LW:RE,44,5,1983-01-02,1983,1980,1
90,CAROLINE (LIVE AT THE N.E.C.),STATUS QUO,90,LW:RE,13,8,1983-01-02,1983,1980,1
91,THE LOOK OF LOVE,ABC,91,LW:RE,4,12,1983-01-02,1983,1980,1
94,CRY BOY CRY,BLUE ZOO,94,LW:RE,13,11,1983-01-02,1983,1980,1
95,DO IT TO THE MUSIC,RAW SILK,95,LW:RE,18,10,1983-01-02,1983,1980,1
96,OUT ON THE FLOOR,DOBIE GRAY,96,LW:RE,42,5,1983-01-02,1983,1980,1
97,LET ME GO,HEAVEN 17,97,LW:RE,41,7,1983-01-02,1983,1980,1
98,OOH LA LA LA (LET'S GO DANCIN'),KOOL AND THE GANG,98,LW:RE,6,10,1983-01-02,1983,1980,1
99,"ANNIE, I'M NOT YOUR DADDY",KID CREOLE AND THE COCONUTS,99,LW:RE,2,9,1983-01-02,1983,1980,1
111,WALKING ON SUNSHINE FT DONNIE CALVIN,ROCKER'S REVENGE FEATURING DONNIE CALVIN,80,LW:RE,4,14,1983-01-09,1983,1980,1
116,UNCERTAIN SMILE,THE THE,92,LW:RE,68,4,1983-01-09,1983,1980,1
117,COME ON EILEEN,DEXY'S MIDNIGHT RUNNERS WITH THE EMERALD EXPRESS,93,LW:RE,1,18,1983-01-09,1983,1980,1
121,LOVE IS A STRANGER,EURYTHMICS,98,LW:RE,54,6,1983-01-09,1983,1980,1
137,DAVID WATTS/'A' BOMB IN WARDOUR STET {1983},THE JAM,64,LW:RE,25,12,1983-01-16,1983,1980,1
145,START {1983},JAM,87,LW:RE,1,9,1983-01-16,1983,1980,1
165,JAILHOUSE ROCK,ELVIS PRESLEY,51,LW:RE,1,15,1983-01-30,1983,1980,1
167,ETON RIFLES {1983},THE JAM,59,LW:RE,59,2,1983-01-30,1983,1980,1
144,START {1983},THE JAM,62,LW:RE,1,10,1983-01-30,1983,1980,1
175,THE BITTEST PILL (I EVER HAD TO SWALLOW),THE JAM,87,LW:RE,2,8,1983-01-30,1983,1980,1
156,JOHNNY MEMBER ME,METEORS,80,LW:RE,77,3,1983-02-13,1983,1980,2
175,THE BITTEST PILL (I EVER HAD TO SWALLOW),THE JAM,97,LW:RE,2,9,1983-02-13,1983,1980,2
96,OUT ON THE FLOOR,DOBIE GRAY,99,LW:RE,42,6,1983-02-20,1983,1980,2
114,CHRISTIAN,CHINA CRISIS,89,LW:RE,12,11,1983-03-27,1983,1980,3
318,MARKET SQUA HEROES {1983},MARILLION,90,LW:RE,60,3,1983-03-27,1983,1980,3
285,JE T'AIME (MOI NON PLUS),VICIOUS PINK PHENOMENA,98,LW:RE,93,2,1983-03-27,1983,1980,3
329,LOVE IS A STRANGER {1984},EURYTHMICS,49,LW:RE,49,7,1983-04-03,1983,1980,4
287,THE MIGHTY HANDS OF LOVE,ANIMAL NIGHTLIFE,92,LW:RE,92,3,1983-04-10,1983,1980,4
6,TIME (CLOCK OF THE HEART),CULTURE CLUB,94,LW:RE,3,13,1983-04-10,1983,1980,4
229,MIDNIGHT SUMMER DAM,THE STRANGLERS,98,LW:RE,35,5,1983-04-10,1983,1980,4
337,LITTLE D CORVETTE,PRINCE,85,LW:RE,85,2,1983-04-17,1983,1980,4
259,WHEN IT'S TIME TO ROCK,UFO,86,LW:RE,70,6,1983-04-17,1983,1980,4
222,LONDON GIRLS,CHAS AND DAVE,96,LW:RE,63,8,1983-04-17,1983,1980,4
269,DON'T TALK TO ME ABOUT LOVE,ALTERED IMAGES,78,LW:RE,7,8,1983-05-08,1983,1980,5
308,TWO HEARTS BEAT AS ONE,U2,89,LW:RE,18,6,1983-05-08,1983,1980,5
213,PAL OF MY CRADLE DAYS,ANN BREEN,95,LW:RE,69,9,1983-05-15,1983,1980,5
425,HAUNTED HOUSE OF ROCK,WHODINI,83,LW:RE,83,2,1983-05-22,1983,1980,5
230,FIELDS OF FI (400 MILES),BIG COUNTRY,84,LW:RE,10,13,1983-05-22,1983,1980,5
464,SHE'S A BEAUTY,THE TUBES,79,LW:RE,79,2,1983-06-05,1983,1980,6
328,SHE'S IN PARTIES,BAUHAUS,96,LW:RE,26,7,1983-06-05,1983,1980,6
296,THE HOUSE THAT JACK BUILT,TRACIE,99,LW:RE,9,9,1983-06-05,1983,1980,6
483,SISTER FRICTION,HAYSI FANTAYZEE,95,LW:RE,62,6,1983-07-17,1983,1980,7
469,HANG ON NOW,KAJAGOOGOO,97,LW:RE,13,8,1983-07-24,1983,1980,7
